siteName,SLFL,year,Tmean,Tq50,Tq75,Tq95,Tmax
19-131 Reef,FL,2015,28.34852327408109,28.48172276388889,28.673777364583334,29.07048661111111,29.40459225
19-131 Reef,FL,2016,28.53372037295082,28.613278447916667,28.93122787326389,29.543687729861112,29.8876114375
19-131 Reef,FL,2017,28.37989137265161,28.73069920486111,28.92638307986111,29.231690959375,29.433834555555556
19-131 Reef,FL,2018,27.453611435261706,27.60545888888889,28.005403243055554,28.17540904861111,28.33180326388889
19-131 Reef,FL,2019,26.76235754904905,26.78313908333333,27.042835461805552,27.308018121527777,27.710601368055556
19-131 Reef,SL,2011,27.16207287402488,26.959907604166666,27.90792998958333,28.274784625000002,28.406049243055556
19-131 Reef,SL,2012,27.9821425428051,28.11599735763889,28.739289810763893,28.99176747951389,29.178331354166666
19-131 Reef,SL,2013,27.69850992291719,27.754770798611112,28.285114194444443,28.598913902777777,28.887387180555557
19-131 Reef,SL,2014,27.32916339141414,27.527604618055555,27.818988013888887,28.07716963888889,28.189624840277776
19-131 Reef,SL,2015,28.23230842466686,28.321344916666668,28.506598430555556,28.96264932638889,29.162345055555555
19-131 Reef,SL,2016,28.40271008185337,28.51447922222222,28.805899052083333,29.212758606597223,29.34544579861111
19-131 Reef,SL,2017,28.719734186769006,28.759689854166666,28.89293620138889,29.1742046875,29.260665409722222
19-138 Reef,FL,2015,28.24969590077862,28.374750697916667,28.571122147569447,28.957426320833335,29.236667694444446
19-138 Reef,FL,2016,28.412552638661204,28.48585715625,28.8008324375,29.283526164930556,29.46811354861111
19-138 Reef,FL,2017,28.727768044921874,28.75812190625,28.889724640625,29.195394134375,29.28033282638889
19-138 Reef,SL,2011,26.984391139789025,26.58930201388889,27.75110816216216,28.178274899999998,28.33738225
19-138 Reef,SL,2012,27.81693846675774,27.95894751736111,28.55870825173611,28.871442376041667,28.972136236111112
19-138 Reef,SL,2013,27.52624992469691,27.587243354166667,28.0921895,28.44857752777778,28.774677090277777
19-138 Reef,SL,2014,27.40431519645317,27.599899208333333,27.905125201388888,28.14633857638889,28.279517944444443
19-138 Reef,SL,2015,28.244527122766932,28.329451100694442,28.50361265798611,28.913975206944443,29.160276173611113
19-138 Reef,SL,2016,28.41442838239982,28.513955458333335,28.832360800347224,29.244864956597223,29.470768229166666
19-138 Reef,SL,2017,28.343711218304264,28.73701969097222,28.888239675347222,29.10210433888889,29.18748675
19-138 Reef,SL,2018,27.830149848714417,28.023865402777776,28.346297041666666,28.495662493055555,28.606730833333334
19-138 Reef,SL,2019,27.668494760974703,27.647220211805553,27.975942072916666,28.190509568055553,28.262405118055554
19-159 Reef,FL,2015,27.81886994647166,27.926182038194444,28.10673718402778,28.281437032986112,28.311824909722223
19-159 Reef,FL,2016,27.991285456056467,27.970764833333334,28.427521303819447,28.638502561805556,28.826525097222223
19-159 Reef,FL,2017,28.170774347930838,28.110142562500002,28.377430729166665,28.549882558333334,28.578209881944446
19-159 Reef,SL,2011,26.746978959302325,26.778538104166667,27.00431245833333,27.13016044652778,27.150998916666666
19-159 Reef,SL,2012,27.456473444899817,27.70749507986111,27.87421072048611,28.113329809722224,28.272016618055556
19-159 Reef,SL,2013,27.411329447627317,27.498423163194445,27.640102319444445,27.861394150347223,27.93001125
19-159 Reef,SL,2015,27.738829216147586,27.833458618055555,28.04571269444444,28.17575895486111,28.27771877777778
19-159 Reef,SL,2016,27.930947595229963,27.89983032986111,28.353896930555557,28.60214867638889,28.719479541666665
